Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Hubbard Power, LLC",Everllence USA INC,6803237,7/7/2025,7/22/2025,Jul-25,Bill,Development : Asset Procurement : Asset Procurement Procore,15600000,15600000,Paid In Full,DM Reservation fee for 13 units  - Prepaid equipment asset,7/14/2025
"Nexus Hubbard Power, LLC",Oncor Electric Delivery Company LLC,ESD0184399,7/10/2025,8/9/2025,Jul-25,Bill,Infrastructure : Acquisition costs - Infra,4500,4500,Paid In Full,DM Easement payment - see email support & invoice,7/14/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020033606,7/14/2025,7/14/2025,Jul-25,Bill,Corporate : Legal,133178.77,133178.77,Paid In Full,DM June 2025 legal services - June 2025,7/17/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS 45852,7/14/2025,7/14/2025,Jul-25,Bill,Corporate : Marketing / Branding,22100,22100,Paid In Full,DM Website Design - 2nd installment for SOW - Installment payment,7/17/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10016492,7/15/2025,7/15/2025,Jul-25,Bill,Development : Regulatory : Regulatory Procore,3283.75,3283.75,Paid In Full,DM Consulting services - 5/31 to 7/4,7/8/2025
"Nexus Apex Holdings, LLC",Dotterweich Carlson Mehner Design,25-0009-01,7/15/2025,7/15/2025,Jul-25,Bill,Development : Engineering : Engineering Gen,20625,20625,Paid In Full,DM Architectural services and structural engineering,7/17/2025
"Nexus Data Centers, LLC","Intergra One LLC (Critical Construction Management, LLC )",INV-200015445,7/16/2025,8/15/2025,Jul-25,Bill,Corporate : Business development,175000,175000,Paid In Full,DM Development Plan and Due Diligence - 50% complete as of this date,8/13/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",6202517,7/21/2025,7/21/2025,Jul-25,Bill,Development : Regulatory : Regulatory Procore,2706.25,2706.25,Paid In Full,DM June Services - Environmental and community plan - June 2025,7/23/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS45861,7/23/2025,7/23/2025,Jul-25,Bill,Corporate : Marketing / Branding,8845,8845,Paid In Full,DM Website Design - 3rd installment for SOW - Installment payment,7/30/2025
"Nexus Apex Holdings, LLC",NTX Drone Services LLC (Inactive),7,7/24/2025,8/23/2025,Jul-25,Bill,Development : Site Services : Site Services Gen,13853.84,13853.84,Paid In Full,DM Photogrammetry mapping & APVBASIC,8/20/2025
"Nexus Data Centers, LLC","BMP Partners, Inc",447899,7/28/2025,8/27/2025,Jul-25,Bill,Corporate : Marketing / Branding,1889.84,1889.84,Paid In Full,DM Marketing Items - Tumblers- Navy,9/25/2025
"Nexus Data Centers, LLC",Marsh USA LLC,8.01027E+11,7/28/2025,7/28/2025,Jul-25,Bill,Operations : Insurance,6728,6728,Paid In Full,DM D&O Liab Insurance - annual premium payment - 7/3/2025-7/3/2026,7/31/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-523,7/31/2025,8/15/2025,Jul-25,Bill,Corporate : HQ / Office,11474.1,11474.1,Paid In Full,DM September rent; July office services,8/18/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",995,7/31/2025,8/30/2025,Jul-25,Bill,Infrastructure : Legal - Infra,6165,6165,Paid In Full,DM Company Formation - this is actually land checked inv -KH - July 2025,9/11/2025
"Nexus Data Centers, LLC","Braintek, LLC",44624,8/1/2025,8/16/2025,Aug-25,Bill,Corporate : IT : Services / License,2265.94,2265.94,Paid In Full,DM August - Monthly Maintenance - August 2025,9/11/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50002,8/1/2025,8/15/2025,Aug-25,Bill,Corporate : Business development,20000,20000,Paid In Full,DM Sales/Leasing Advisory - August 2025,8/11/2025
"Nexus Data Centers, LLC","Intergra One LLC (Critical Construction Management, LLC )",INV-200015457,8/1/2025,8/31/2025,Aug-25,Bill,Corporate : Business development,175000,175000,Paid In Full,DM Development Plan and Due Diligence - Remaining 50% - July 2025,8/26/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020034087,8/5/2025,8/6/2025,Aug-25,Bill,Corporate : Legal,437829.4,437829.4,Paid In Full,DM July 2025 legal services  - July 2025,8/8/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B2,8/7/2025,9/9/2025,Aug-25,Bill,Corporate : IT : Services / License,6662.5,6662.5,Paid In Full,DM North American Access - Installment #2 - 4/25 to 4/26,8/28/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10017615,8/13/2025,8/13/2025,Aug-25,Bill,Development : Regulatory : Regulatory Procore,33361.25,33361.25,Paid In Full,DM Initial emissions data research & feasibility & design analysis  - July 2025,8/28/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",156079,8/13/2025,8/23/2025,Aug-25,Bill,Development : Engineering : Engineering Procore,4540,4540,Paid In Full,DM CSA Engineering - RUS-25010731-AO - Nexus Hubbard - July 2025,9/30/2025
"Nexus Apex Holdings, LLC","FLYGUYS, INC.",19718,8/13/2025,9/12/2025,Aug-25,Bill,Development : Site Services : Site Services Gen,23650,23650,Paid In Full,DM Hubbard LIDAR Scan - August 2025,9/25/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0583,8/18/2025,8/21/2025,Aug-25,Bill,Development : Utilities : Utilities Gen,10125.82,10125.82,Paid In Full,DM Well Registration PGCD-003626 - Usage fees  - Q1 - Q3 2025,8/28/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",7202520,8/18/2025,10/1/2025,Aug-25,Bill,Development : Regulatory : Regulatory Procore,5904,5904,Paid In Full,DM Environmental Consulting - HOU-25007091-00 - July 2025,9/30/2025
"Nexus Data Centers, LLC",Marsh USA LLC,8.01029E+11,8/18/2025,8/18/2025,Aug-25,Bill,Operations : Insurance,26875,26875,Paid In Full,DM Insurance Advisory - Property Risk Consulting - August 2025,8/28/2025
"Nexus Data Centers, LLC",Marsh USA LLC,8.01021E+11,8/20/2025,8/22/2025,Aug-25,Bill,Operations : Insurance,7579.35,7579.35,Paid In Full,DM Energy general liab & excess liab premiums and fees - 8/4/2025-8/4/2026,8/28/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10017874,8/21/2025,8/21/2025,Aug-25,Bill,Development : Regulatory : Regulatory Procore,18241.06,18241.06,Paid In Full,DM Environmental Consulting - Noise Study - 7/19/2025 - 8/15/2025,9/30/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251227-001,8/26/2025,8/26/2025,Aug-25,Bill,Development : Engineering : Engineering Gen,150000,150000,Paid In Full,DM Initial payment  - August 2025,9/11/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818 8.18,8/28/2025,8/28/2025,Aug-25,Bill,Corporate : Corporate,110,110,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1012,8/31/2025,9/30/2025,Aug-25,Bill,Infrastructure : Legal - Infra,20632.5,20632.5,Paid In Full,"DM Company Formation - this is actually land checked inv -KH - Overpayment of August invoice that was applied as a credit to the October invoice #17,520",10/3/2025
"Nexus Hubbard Power, LLC",Pastore Houldsworth & Co LLC,2025-2180,8/31/2025,9/30/2025,Aug-25,Bill,Development : Consulting : Consulting Gen,91033.24,91033.24,Paid In Full,DM PPA Consulting - August 2025,9/22/2025
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-1,8/31/2025,9/15/2025,Aug-25,Bill,Development : Engineering : Engineering Gen,63825,63825,Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - August 2025",10/1/2025
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-2,8/31/2025,9/15/2025,Aug-25,Bill,Development : Engineering : Engineering Gen,5000,5000,Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - September 2025",10/30/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-610,8/31/2025,9/15/2025,Aug-25,Bill,Corporate : HQ / Office,13337.89,13337.89,Paid In Full,"DM October rent; August IT services, meeting room, copy/print, and kitchen",9/18/2025
"Nexus Data Centers, LLC","Braintek, LLC",44722,9/1/2025,9/16/2025,Sep-25,Bill,Corporate : IT : Services / License,2777.41,2777.41,Paid In Full,DM September - Monthly Maintenance - September 2025,9/11/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50003,9/1/2025,9/15/2025,Sep-25,Bill,Corporate : Business development,20000,20000,Paid In Full,DM Sales/Leasing Advisory - September 2025,9/11/2025
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-001,9/2/2025,10/2/2025,Sep-25,Bill,Development : Project Management : Project Management Procore,20160,20160,Paid In Full,DM Schedule mgmt services for Nexus Program Team - August 2025,9/24/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10018257,9/4/2025,9/4/2025,Sep-25,Bill,Development : Regulatory : Regulatory Procore,38251.25,38251.25,Paid In Full,DM Phase 2 Feasibility and Design Analysis - August 2025,10/15/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020034612,9/4/2025,9/4/2025,Sep-25,Bill,Corporate : Legal,243150.65,243150.65,Paid In Full,DM Services and expenses for legal - August 2025 - August 2025,9/25/2025
"Nexus Data Centers, LLC",EEGrid Analytics LLC,25-19,9/5/2025,9/18/2025,Sep-25,Bill,Corporate : IT : Services / License,16237.5,16237.5,Paid In Full,DM Grid Electricity Pricing Software License for one year - 12 months,9/25/2025
"Nexus Hubbard Power, LLC",Oncor Electric Delivery Company LLC,Email support,9/9/2025,10/9/2025,Sep-25,Bill,Infrastructure : Acquisition costs - Infra,1750,1750,Paid In Full,DM Release of easements for HUB-02 (see email support),9/12/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818,9/10/2025,10/1/2025,Sep-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818 9.10,9/10/2025,9/10/2025,Sep-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Data Centers, LLC",Newmark Partners LP,464914-001,9/12/2025,9/27/2025,Sep-25,Bill,Corporate : Finance,75000,75000,Paid In Full,DM Project Apex Land Valuation,9/25/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-362,9/19/2025,9/19/2025,Sep-25,Bill,Infrastructure : Acquisition costs - Infra,1374.78,1374.78,Paid In Full,"DM Survey invoice - BOUNDARY SURVEY 0.176 ACRE TRACT, HILL COUNTY, TEXAS - Coffee 1&2",9/24/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818 9.21,9/21/2025,9/21/2025,Sep-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
